"","Freq_Position","DinExp_Position","Store_Position","Order","Freq_Response","DinExp_Response","Store_Response"
"1",2,3,1,"Store-Freq-DinExp","7-10 times","Good","Existing look"
"2",1,2,3,"Freq-DinExp-Store","1 time","Good","Existing look"
"3",1,2,3,"Freq-DinExp-Store","1 time","Satisfactory","New look"
"4",2,1,3,"DinExp-Freq-Store","1 time","Terrible","New look"
"5",2,3,1,"Store-Freq-DinExp","1 time","Terrible","New look"
"6",3,2,1,"Store-DinExp-Freq","2-3 times","Bad","New look"
"7",1,2,3,"Freq-DinExp-Store","1 time","Satisfactory","Existing look"
"8",1,2,3,"Freq-DinExp-Store","1 time","Good","New look"
"9",1,3,2,"Freq-Store-DinExp","1 time","Bad","Existing look"
"10",3,1,2,"DinExp-Store-Freq","1 time","Bad","Existing look"
"11",2,1,3,"DinExp-Freq-Store","2-3 times","Satisfactory","New look"
"12",1,2,3,"Freq-DinExp-Store","2-3 times","Satisfactory","New look"
"13",2,3,1,"Store-Freq-DinExp","2-3 times","Satisfactory","New look"
"14",1,2,3,"Freq-DinExp-Store","7-10 times","Good","New look"
"15",2,1,3,"DinExp-Freq-Store","7-10 times","Bad","New look"
"16",3,1,2,"DinExp-Store-Freq","1 time","Bad","New look"
"17",3,2,1,"Store-DinExp-Freq","More than 10 times","Excellent","Existing look"
"18",3,2,1,"Store-DinExp-Freq","2-3 times","Excellent","New look"
"19",2,3,1,"Store-Freq-DinExp","1 time","Terrible","Existing look"
"20",2,3,1,"Store-Freq-DinExp","1 time","Good","Existing look"
"21",1,3,2,"Freq-Store-DinExp","1 time","Terrible","Existing look"
"22",1,2,3,"Freq-DinExp-Store","1 time","Good","New look"
"23",3,2,1,"Store-DinExp-Freq","7-10 times","Satisfactory","Existing look"
"24",3,1,2,"DinExp-Store-Freq","1 time","Good","New look"
"25",2,3,1,"Store-Freq-DinExp","2-3 times","Excellent","Existing look"
"26",1,2,3,"Freq-DinExp-Store","4-6 times","Satisfactory","Existing look"
"27",1,2,3,"Freq-DinExp-Store","1 time","Excellent","New look"
"28",2,3,1,"Store-Freq-DinExp","1 time","Good","Existing look"
"29",1,2,3,"Freq-DinExp-Store","2-3 times","Terrible","Existing look"
"30",1,3,2,"Freq-Store-DinExp","1 time","Excellent","New look"
"31",1,3,2,"Freq-Store-DinExp","1 time","Good","New look"
"32",3,2,1,"Store-DinExp-Freq","7-10 times","Terrible","Existing look"
"33",1,3,2,"Freq-Store-DinExp","4-6 times","Excellent","Existing look"
"34",1,3,2,"Freq-Store-DinExp","2-3 times","Bad","Existing look"
"35",1,2,3,"Freq-DinExp-Store","4-6 times","Good","New look"
"36",2,3,1,"Store-Freq-DinExp","7-10 times","Excellent","Existing look"
"37",1,3,2,"Freq-Store-DinExp","1 time","Satisfactory","New look"
"38",3,2,1,"Store-DinExp-Freq","2-3 times","Bad","New look"
"39",3,1,2,"DinExp-Store-Freq","7-10 times","Bad","Existing look"
"40",3,1,2,"DinExp-Store-Freq","More than 10 times","Excellent","New look"
"41",1,3,2,"Freq-Store-DinExp","2-3 times","Excellent","New look"
"42",1,2,3,"Freq-DinExp-Store","7-10 times","Satisfactory","Existing look"
"43",1,2,3,"Freq-DinExp-Store","2-3 times","Terrible","Existing look"
"44",2,1,3,"DinExp-Freq-Store","More than 10 times","Excellent","New look"
"45",3,1,2,"DinExp-Store-Freq","7-10 times","Bad","New look"
"46",3,1,2,"DinExp-Store-Freq","2-3 times","Satisfactory","New look"
"47",1,2,3,"Freq-DinExp-Store","7-10 times","Excellent","New look"
"48",2,1,3,"DinExp-Freq-Store","4-6 times","Good","Existing look"
"49",1,2,3,"Freq-DinExp-Store","2-3 times","Terrible","New look"
"50",2,1,3,"DinExp-Freq-Store","2-3 times","Good","Existing look"
"51",3,1,2,"DinExp-Store-Freq","2-3 times","Excellent","Existing look"
"52",3,2,1,"Store-DinExp-Freq","2-3 times","Satisfactory","Existing look"
"53",2,1,3,"DinExp-Freq-Store","7-10 times","Excellent","Existing look"
"54",3,2,1,"Store-DinExp-Freq","4-6 times","Good","Existing look"
"55",2,1,3,"DinExp-Freq-Store","1 time","Excellent","New look"
"56",1,2,3,"Freq-DinExp-Store","2-3 times","Satisfactory","New look"
"57",2,1,3,"DinExp-Freq-Store","4-6 times","Good","Existing look"
"58",3,1,2,"DinExp-Store-Freq","1 time","Satisfactory","New look"
"59",1,3,2,"Freq-Store-DinExp","2-3 times","Terrible","Existing look"
"60",2,3,1,"Store-Freq-DinExp","2-3 times","Satisfactory","Existing look"
"61",3,2,1,"Store-DinExp-Freq","4-6 times","Terrible","New look"
"62",2,3,1,"Store-Freq-DinExp","4-6 times","Excellent","Existing look"
"63",1,3,2,"Freq-Store-DinExp","2-3 times","Good","New look"
"64",1,3,2,"Freq-Store-DinExp","7-10 times","Good","Existing look"
"65",2,1,3,"DinExp-Freq-Store","1 time","Satisfactory","Existing look"
"66",1,2,3,"Freq-DinExp-Store","4-6 times","Bad","New look"
"67",1,2,3,"Freq-DinExp-Store","1 time","Terrible","New look"
"68",1,2,3,"Freq-DinExp-Store","2-3 times","Good","New look"
"69",3,2,1,"Store-DinExp-Freq","2-3 times","Good","Existing look"
"70",1,2,3,"Freq-DinExp-Store","4-6 times","Good","New look"
"71",1,2,3,"Freq-DinExp-Store","2-3 times","Terrible","Existing look"
"72",1,3,2,"Freq-Store-DinExp","2-3 times","Good","New look"
"73",1,3,2,"Freq-Store-DinExp","1 time","Good","Existing look"
"74",3,2,1,"Store-DinExp-Freq","2-3 times","Excellent","Existing look"
"75",2,1,3,"DinExp-Freq-Store","More than 10 times","Excellent","New look"
"76",1,2,3,"Freq-DinExp-Store","4-6 times","Good","Existing look"
"77",3,1,2,"DinExp-Store-Freq","2-3 times","Terrible","Existing look"
"78",2,3,1,"Store-Freq-DinExp","4-6 times","Good","Existing look"
"79",1,3,2,"Freq-Store-DinExp","2-3 times","Excellent","Existing look"
"80",2,1,3,"DinExp-Freq-Store","1 time","Terrible","Existing look"
"81",2,3,1,"Store-Freq-DinExp","2-3 times","Satisfactory","Existing look"
"82",2,3,1,"Store-Freq-DinExp","2-3 times","Bad","New look"
"83",3,2,1,"Store-DinExp-Freq","2-3 times","Satisfactory","Existing look"
"84",2,3,1,"Store-Freq-DinExp","4-6 times","Good","Existing look"
"85",3,2,1,"Store-DinExp-Freq","4-6 times","Good","Existing look"
"86",2,3,1,"Store-Freq-DinExp","More than 10 times","Good","Existing look"
"87",2,3,1,"Store-Freq-DinExp","7-10 times","Bad","New look"
"88",2,3,1,"Store-Freq-DinExp","1 time","Good","Existing look"
"89",1,2,3,"Freq-DinExp-Store","2-3 times","Bad","New look"
"90",1,3,2,"Freq-Store-DinExp","7-10 times","Good","Existing look"
"91",3,2,1,"Store-DinExp-Freq","2-3 times","Good","Existing look"
"92",2,3,1,"Store-Freq-DinExp","7-10 times","Bad","New look"
"93",1,3,2,"Freq-Store-DinExp","2-3 times","Bad","New look"
"94",3,1,2,"DinExp-Store-Freq","4-6 times","Excellent","New look"
"95",2,1,3,"DinExp-Freq-Store","4-6 times","Excellent","New look"
"96",3,1,2,"DinExp-Store-Freq","4-6 times","Bad","Existing look"
"97",2,1,3,"DinExp-Freq-Store","2-3 times","Satisfactory","New look"
"98",3,1,2,"DinExp-Store-Freq","1 time","Excellent","New look"
"99",3,1,2,"DinExp-Store-Freq","2-3 times","Satisfactory","Existing look"
"100",2,1,3,"DinExp-Freq-Store","1 time","Bad","New look"
"101",2,1,3,"DinExp-Freq-Store","2-3 times","Bad","New look"
"102",1,3,2,"Freq-Store-DinExp","1 time","Good","New look"
"103",3,1,2,"DinExp-Store-Freq","2-3 times","Satisfactory","New look"
"104",1,3,2,"Freq-Store-DinExp","4-6 times","Terrible","Existing look"
"105",1,2,3,"Freq-DinExp-Store","2-3 times","Satisfactory","New look"
"106",3,1,2,"DinExp-Store-Freq","2-3 times","Good","Existing look"
"107",3,2,1,"Store-DinExp-Freq","2-3 times","Excellent","Existing look"
"108",2,3,1,"Store-Freq-DinExp","1 time","Terrible","Existing look"
"109",1,3,2,"Freq-Store-DinExp","4-6 times","Good","Existing look"
"110",2,1,3,"DinExp-Freq-Store","4-6 times","Bad","New look"
"111",1,2,3,"Freq-DinExp-Store","More than 10 times","Excellent","Existing look"
"112",1,2,3,"Freq-DinExp-Store","2-3 times","Bad","New look"
"113",1,3,2,"Freq-Store-DinExp","2-3 times","Satisfactory","Existing look"
"114",1,2,3,"Freq-DinExp-Store","More than 10 times","Excellent","Existing look"
"115",1,3,2,"Freq-Store-DinExp","4-6 times","Good","Existing look"
"116",3,1,2,"DinExp-Store-Freq","1 time","Good","New look"
"117",1,3,2,"Freq-Store-DinExp","7-10 times","Good","Existing look"
"118",3,1,2,"DinExp-Store-Freq","1 time","Satisfactory","New look"
"119",1,2,3,"Freq-DinExp-Store","7-10 times","Terrible","New look"
"120",2,1,3,"DinExp-Freq-Store","4-6 times","Good","New look"
"121",1,2,3,"Freq-DinExp-Store","2-3 times","Satisfactory","Existing look"
"122",1,3,2,"Freq-Store-DinExp","1 time","Terrible","New look"
"123",3,1,2,"DinExp-Store-Freq","1 time","Satisfactory","New look"
"124",1,3,2,"Freq-Store-DinExp","1 time","Excellent","Existing look"
"125",2,3,1,"Store-Freq-DinExp","4-6 times","Bad","Existing look"
"126",1,3,2,"Freq-Store-DinExp","2-3 times","Bad","Existing look"
"127",2,1,3,"DinExp-Freq-Store","1 time","Excellent","New look"
"128",3,2,1,"Store-DinExp-Freq","4-6 times","Excellent","Existing look"
"129",2,3,1,"Store-Freq-DinExp","7-10 times","Good","New look"
"130",3,1,2,"DinExp-Store-Freq","7-10 times","Satisfactory","New look"
"131",1,2,3,"Freq-DinExp-Store","2-3 times","Satisfactory","New look"
"132",3,1,2,"DinExp-Store-Freq","1 time","Bad","New look"
"133",3,2,1,"Store-DinExp-Freq","2-3 times","Excellent","New look"
"134",3,2,1,"Store-DinExp-Freq","More than 10 times","Good","Existing look"
"135",2,1,3,"DinExp-Freq-Store","7-10 times","Satisfactory","Existing look"
"136",2,1,3,"DinExp-Freq-Store","7-10 times","Good","Existing look"
"137",1,3,2,"Freq-Store-DinExp","More than 10 times","Good","Existing look"
"138",2,3,1,"Store-Freq-DinExp","2-3 times","Good","New look"
"139",2,3,1,"Store-Freq-DinExp","4-6 times","Good","Existing look"
"140",2,3,1,"Store-Freq-DinExp","2-3 times","Good","Existing look"
"141",3,1,2,"DinExp-Store-Freq","4-6 times","Excellent","Existing look"
"142",2,1,3,"DinExp-Freq-Store","1 time","Satisfactory","New look"
"143",1,3,2,"Freq-Store-DinExp","More than 10 times","Satisfactory","Existing look"
"144",3,1,2,"DinExp-Store-Freq","2-3 times","Terrible","New look"
"145",2,1,3,"DinExp-Freq-Store","2-3 times","Satisfactory","New look"
"146",3,2,1,"Store-DinExp-Freq","2-3 times","Bad","New look"
"147",3,2,1,"Store-DinExp-Freq","1 time","Satisfactory","Existing look"
"148",1,2,3,"Freq-DinExp-Store","2-3 times","Good","New look"
"149",1,2,3,"Freq-DinExp-Store","2-3 times","Good","Existing look"
"150",1,3,2,"Freq-Store-DinExp","4-6 times","Satisfactory","Existing look"
"151",1,2,3,"Freq-DinExp-Store","2-3 times","Good","New look"
"152",3,1,2,"DinExp-Store-Freq","2-3 times","Good","New look"
"153",3,2,1,"Store-DinExp-Freq","7-10 times","Good","Existing look"
"154",2,1,3,"DinExp-Freq-Store","1 time","Satisfactory","New look"
"155",1,2,3,"Freq-DinExp-Store","1 time","Bad","New look"
"156",2,1,3,"DinExp-Freq-Store","4-6 times","Satisfactory","Existing look"
"157",2,3,1,"Store-Freq-DinExp","7-10 times","Bad","Existing look"
"158",3,1,2,"DinExp-Store-Freq","7-10 times","Bad","Existing look"
"159",3,1,2,"DinExp-Store-Freq","1 time","Satisfactory","New look"
"160",1,3,2,"Freq-Store-DinExp","2-3 times","Terrible","New look"
"161",2,1,3,"DinExp-Freq-Store","7-10 times","Good","Existing look"
"162",3,1,2,"DinExp-Store-Freq","2-3 times","Good","New look"
"163",3,2,1,"Store-DinExp-Freq","2-3 times","Good","New look"
"164",2,3,1,"Store-Freq-DinExp","2-3 times","Satisfactory","Existing look"
"165",2,3,1,"Store-Freq-DinExp","More than 10 times","Excellent","Existing look"
"166",3,1,2,"DinExp-Store-Freq","4-6 times","Satisfactory","New look"
"167",1,2,3,"Freq-DinExp-Store","2-3 times","Terrible","Existing look"
"168",2,3,1,"Store-Freq-DinExp","2-3 times","Bad","New look"
"169",3,1,2,"DinExp-Store-Freq","4-6 times","Excellent","New look"
"170",3,1,2,"DinExp-Store-Freq","1 time","Good","Existing look"
"171",3,2,1,"Store-DinExp-Freq","More than 10 times","Good","Existing look"
"172",1,3,2,"Freq-Store-DinExp","1 time","Excellent","New look"
"173",3,2,1,"Store-DinExp-Freq","4-6 times","Excellent","Existing look"
"174",3,1,2,"DinExp-Store-Freq","1 time","Bad","New look"
"175",1,3,2,"Freq-Store-DinExp","1 time","Bad","Existing look"
"176",2,3,1,"Store-Freq-DinExp","2-3 times","Terrible","New look"
"177",3,2,1,"Store-DinExp-Freq","2-3 times","Good","Existing look"
"178",2,3,1,"Store-Freq-DinExp","1 time","Bad","New look"
"179",2,3,1,"Store-Freq-DinExp","2-3 times","Terrible","Existing look"
"180",2,1,3,"DinExp-Freq-Store","4-6 times","Excellent","New look"
"181",1,2,3,"Freq-DinExp-Store","4-6 times","Satisfactory","New look"
"182",3,2,1,"Store-DinExp-Freq","2-3 times","Terrible","New look"
"183",1,3,2,"Freq-Store-DinExp","2-3 times","Excellent","Existing look"
"184",3,1,2,"DinExp-Store-Freq","4-6 times","Good","Existing look"
"185",1,3,2,"Freq-Store-DinExp","2-3 times","Satisfactory","New look"
"186",3,2,1,"Store-DinExp-Freq","2-3 times","Good","New look"
"187",3,1,2,"DinExp-Store-Freq","More than 10 times","Excellent","Existing look"
"188",1,2,3,"Freq-DinExp-Store","7-10 times","Good","New look"
"189",3,2,1,"Store-DinExp-Freq","2-3 times","Terrible","Existing look"
"190",3,2,1,"Store-DinExp-Freq","7-10 times","Excellent","Existing look"
"191",3,1,2,"DinExp-Store-Freq","4-6 times","Terrible","New look"
"192",3,2,1,"Store-DinExp-Freq","2-3 times","Good","Existing look"
"193",2,3,1,"Store-Freq-DinExp","1 time","Bad","New look"
"194",3,1,2,"DinExp-Store-Freq","More than 10 times","Excellent","Existing look"
"195",1,2,3,"Freq-DinExp-Store","More than 10 times","Excellent","Existing look"
"196",2,3,1,"Store-Freq-DinExp","1 time","Bad","Existing look"
"197",1,3,2,"Freq-Store-DinExp","2-3 times","Good","Existing look"
"198",2,1,3,"DinExp-Freq-Store","1 time","Terrible","New look"
"199",3,2,1,"Store-DinExp-Freq","2-3 times","Good","Existing look"
"200",2,1,3,"DinExp-Freq-Store","2-3 times","Bad","Existing look"
